geo_key,county_name,electoral_district_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
01000001001,臺北市,臺北市第01選區,北投區,建民里,1,張育憬,綠黨,2,42,N,NA,57,2.24,2546,30,2576,3270,78.78,01,000,01,001,0001
01000001001,臺北市,臺北市第01選區,北投區,建民里,2,張志傑,台灣國民會議,1,30,N,NA,29,1.14,2546,30,2576,3270,78.78,01,000,01,001,0001
01000001001,臺北市,臺北市第01選區,北投區,建民里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,4,0.16,2546,30,2576,3270,78.78,01,000,01,001,0001
01000001001,臺北市,臺北市第01選區,北投區,建民里,4,丁守中,中國國民黨,1,58,Y,*,1155,45.37,2546,30,2576,3270,78.78,01,000,01,001,0001
01000001001,臺北市,臺北市第01選區,北投區,建民里,5,楊烈,民主進步黨,1,60,N,NA,1301,51.1,2546,30,2576,3270,78.78,01,000,01,001,0001
01000001002,臺北市,臺北市第01選區,北投區,文林里,1,張育憬,綠黨,2,42,N,NA,72,2.54,2831,38,2869,3620,79.25,01,000,01,001,0002
01000001002,臺北市,臺北市第01選區,北投區,文林里,2,張志傑,台灣國民會議,1,30,N,NA,29,1.02,2831,38,2869,3620,79.25,01,000,01,001,0002
01000001002,臺北市,臺北市第01選區,北投區,文林里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,10,0.35,2831,38,2869,3620,79.25,01,000,01,001,0002
01000001002,臺北市,臺北市第01選區,北投區,文林里,4,丁守中,中國國民黨,1,58,Y,*,1418,50.09,2831,38,2869,3620,79.25,01,000,01,001,0002
01000001002,臺北市,臺北市第01選區,北投區,文林里,5,楊烈,民主進步黨,1,60,N,NA,1302,45.99,2831,38,2869,3620,79.25,01,000,01,001,0002
01000001003,臺北市,臺北市第01選區,北投區,石牌里,1,張育憬,綠黨,2,42,N,NA,77,2.22,3467,33,3500,4421,79.17,01,000,01,001,0003
