geo_key,county_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
09007010001,連江縣,南竿鄉,介壽村,1,李問,民主進步黨,1,33,N,NA,107,7.76,1379,12,1391,1913,72.71,09,007,00,010,0001
09007010001,連江縣,南竿鄉,介壽村,2,曹爾元,中國國民黨,1,64,N,NA,620,44.96,1379,12,1391,1913,72.71,09,007,00,010,0001
09007010001,連江縣,南竿鄉,介壽村,3,王忠銘,中國國民黨,1,64,N,*,652,47.28,1379,12,1391,1913,72.71,09,007,00,010,0001
09007010A01,連江縣,南竿鄉,復興村、福沃村,1,李問,民主進步黨,1,33,N,NA,73,6.2,1178,13,1191,1698,70.14,09,007,00,010,0A01
09007010A01,連江縣,南竿鄉,復興村、福沃村,2,曹爾元,中國國民黨,1,64,N,NA,590,50.08,1178,13,1191,1698,70.14,09,007,00,010,0A01
09007010A01,連江縣,南竿鄉,復興村、福沃村,3,王忠銘,中國國民黨,1,64,N,*,515,43.72,1178,13,1191,1698,70.14,09,007,00,010,0A01
09007010A02,連江縣,南竿鄉,清水村、珠螺村,1,李問,民主進步黨,1,33,N,NA,53,5.85,906,12,918,1265,72.57,09,007,00,010,0A02
09007010A02,連江縣,南竿鄉,清水村、珠螺村,2,曹爾元,中國國民黨,1,64,N,NA,328,36.2,906,12,918,1265,72.57,09,007,00,010,0A02
09007010A02,連江縣,南竿鄉,清水村、珠螺村,3,王忠銘,中國國民黨,1,64,N,*,525,57.95,906,12,918,1265,72.57,09,007,00,010,0A02
09007010A03,連江縣,南竿鄉,仁愛村、津沙村、馬祖村、四維村,1,李問,民主進步黨,1,33,N,NA,68,6.41,1061,18,1079,1590,67.86,09,007,00,010,0A03
09007010A03,連江縣,南竿鄉,仁愛村、津沙村、馬祖村、四維村,2,曹爾元,中國國民黨,1,64,N,NA,414,39.02,1061,18,1079,1590,67.86,09,007,00,010,0A03
09007010A03,連江縣,南竿鄉,仁愛村、津沙村、馬祖村、四維村,3,王忠銘,中國國民黨,1,64,N,*,579,54.57,1061,18,1079,1590,67.86,09,007,00,010,0A03
09007020A01,連江縣,北竿鄉,塘岐村、后沃村,1,李問,民主進步黨,1,33,N,NA,56,5.39,1039,16,1055,1367,77.18,09,007,00,020,0A01
09007020A01,連江縣,北竿鄉,塘岐村、后沃村,2,曹爾元,中國國民黨,1,64,N,NA,398,38.31,1039,16,1055,1367,77.18,09,007,00,020,0A01
09007020A01,連江縣,北竿鄉,塘岐村、后沃村,3,王忠銘,中國國民黨,1,64,N,*,585,56.3,1039,16,1055,1367,77.18,09,007,00,020,0A01
09007020A02,連江縣,北竿鄉,橋仔村、芹壁村、坂里村、白沙村,1,李問,民主進步黨,1,33,N,NA,63,6.19,1018,16,1034,1378,75.04,09,007,00,020,0A02
09007020A02,連江縣,北竿鄉,橋仔村、芹壁村、坂里村、白沙村,2,曹爾元,中國國民黨,1,64,N,NA,408,40.08,1018,16,1034,1378,75.04,09,007,00,020,0A02
09007020A02,連江縣,北竿鄉,橋仔村、芹壁村、坂里村、白沙村,3,王忠銘,中國國民黨,1,64,N,*,547,53.73,1018,16,1034,1378,75.04,09,007,00,020,0A02
09007030A01,連江縣,莒光鄉,青帆村、田沃村、西坵村,1,李問,民主進步黨,1,33,N,NA,34,7.64,445,5,450,636,70.75,09,007,00,030,0A01
09007030A01,連江縣,莒光鄉,青帆村、田沃村、西坵村,2,曹爾元,中國國民黨,1,64,N,NA,191,42.92,445,5,450,636,70.75,09,007,00,030,0A01
09007030A01,連江縣,莒光鄉,青帆村、田沃村、西坵村,3,王忠銘,中國國民黨,1,64,N,*,220,49.44,445,5,450,636,70.75,09,007,00,030,0A01
09007030A02,連江縣,莒光鄉,福正村、大坪村,1,李問,民主進步黨,1,33,N,NA,27,5.27,512,7,519,685,75.77,09,007,00,030,0A02
09007030A02,連江縣,莒光鄉,福正村、大坪村,2,曹爾元,中國國民黨,1,64,N,NA,227,44.34,512,7,519,685,75.77,09,007,00,030,0A02
09007030A02,連江縣,莒光鄉,福正村、大坪村,3,王忠銘,中國國民黨,1,64,N,*,258,50.39,512,7,519,685,75.77,09,007,00,030,0A02
09007040A01,連江縣,東引鄉,中柳村、樂華村,1,李問,民主進步黨,1,33,N,NA,105,10.86,967,16,983,1278,76.92,09,007,00,040,0A01
09007040A01,連江縣,東引鄉,中柳村、樂華村,2,曹爾元,中國國民黨,1,64,N,NA,406,41.99,967,16,983,1278,76.92,09,007,00,040,0A01
09007040A01,連江縣,東引鄉,中柳村、樂華村,3,王忠銘,中國國民黨,1,64,N,*,456,47.16,967,16,983,1278,76.92,09,007,00,040,0A01
09020010001,金門縣,金城鎮,東門里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,93,4.56,2040,38,2078,4703,44.18,09,020,00,010,0001
09020010001,金門縣,金城鎮,東門里,2,朱紀瑋,龍黨,1,61,N,NA,12,0.59,2040,38,2078,4703,44.18,09,020,00,010,0001
09020010001,金門縣,金城鎮,東門里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,6,0.29,2040,38,2078,4703,44.18,09,020,00,010,0001
09020010001,金門縣,金城鎮,東門里,4,楊鎮浯,中國國民黨,1,50,Y,NA,1019,49.95,2040,38,2078,4703,44.18,09,020,00,010,0001
09020010001,金門縣,金城鎮,東門里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,867,42.5,2040,38,2078,4703,44.18,09,020,00,010,0001
09020010001,金門縣,金城鎮,東門里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,43,2.11,2040,38,2078,4703,44.18,09,020,00,010,0001
09020010002,金門縣,金城鎮,西門里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,212,5.89,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,2,朱紀瑋,龍黨,1,61,N,NA,8,0.22,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,12,0.33,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,4,楊鎮浯,中國國民黨,1,50,Y,NA,1799,50,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,1492,41.47,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,75,2.08,3598,67,3665,9226,39.72,09,020,00,010,0002
