geo_key,county_name,township_name,village_name,candidate_no,candidate_name,running_mate,party_name,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,township,village
09007010001,連江縣,南竿鄉,介壽村,1,柯文哲,NA,台灣民眾黨,NA,274,23.78,1152,7,1159,1948,59.5,09,007,010,0001
09007010001,連江縣,南竿鄉,介壽村,2,賴清德,NA,民主進步黨,*,123,10.68,1152,7,1159,1948,59.5,09,007,010,0001
09007010001,連江縣,南竿鄉,介壽村,3,侯友宜,NA,中國國民黨,NA,755,65.54,1152,7,1159,1948,59.5,09,007,010,0001
09007010A01,連江縣,南竿鄉,復興村、福沃村,1,柯文哲,NA,台灣民眾黨,NA,239,25.05,954,9,963,1733,55.57,09,007,010,0A01
09007010A01,連江縣,南竿鄉,復興村、福沃村,2,賴清德,NA,民主進步黨,*,103,10.8,954,9,963,1733,55.57,09,007,010,0A01
09007010A01,連江縣,南竿鄉,復興村、福沃村,3,侯友宜,NA,中國國民黨,NA,612,64.15,954,9,963,1733,55.57,09,007,010,0A01
09007010A02,連江縣,南竿鄉,清水村、珠螺村,1,柯文哲,NA,台灣民眾黨,NA,208,30.23,688,5,693,1296,53.47,09,007,010,0A02
09007010A02,連江縣,南竿鄉,清水村、珠螺村,2,賴清德,NA,民主進步黨,*,82,11.92,688,5,693,1296,53.47,09,007,010,0A02
09007010A02,連江縣,南竿鄉,清水村、珠螺村,3,侯友宜,NA,中國國民黨,NA,398,57.85,688,5,693,1296,53.47,09,007,010,0A02
09007010A03,連江縣,南竿鄉,仁愛村、津沙村、馬祖村、四維村,1,柯文哲,NA,台灣民眾黨,NA,210,24.42,860,5,865,1616,53.53,09,007,010,0A03
09007010A03,連江縣,南竿鄉,仁愛村、津沙村、馬祖村、四維村,2,賴清德,NA,民主進步黨,*,84,9.77,860,5,865,1616,53.53,09,007,010,0A03
09007010A03,連江縣,南竿鄉,仁愛村、津沙村、馬祖村、四維村,3,侯友宜,NA,中國國民黨,NA,566,65.81,860,5,865,1616,53.53,09,007,010,0A03
09007020A01,連江縣,北竿鄉,塘岐村、后沃村,1,柯文哲,NA,台灣民眾黨,NA,148,23.49,630,5,635,1372,46.28,09,007,020,0A01
09007020A01,連江縣,北竿鄉,塘岐村、后沃村,2,賴清德,NA,民主進步黨,*,71,11.27,630,5,635,1372,46.28,09,007,020,0A01
09007020A01,連江縣,北竿鄉,塘岐村、后沃村,3,侯友宜,NA,中國國民黨,NA,411,65.24,630,5,635,1372,46.28,09,007,020,0A01
09007020A02,連江縣,北竿鄉,橋仔村、芹壁村、坂里村、白沙村,1,柯文哲,NA,台灣民眾黨,NA,180,28.8,625,4,629,1386,45.38,09,007,020,0A02
09007020A02,連江縣,北竿鄉,橋仔村、芹壁村、坂里村、白沙村,2,賴清德,NA,民主進步黨,*,64,10.24,625,4,629,1386,45.38,09,007,020,0A02
09007020A02,連江縣,北竿鄉,橋仔村、芹壁村、坂里村、白沙村,3,侯友宜,NA,中國國民黨,NA,381,60.96,625,4,629,1386,45.38,09,007,020,0A02
09007030A01,連江縣,莒光鄉,青帆村、田沃村、西坵村,1,柯文哲,NA,台灣民眾黨,NA,82,26.89,305,3,308,676,45.56,09,007,030,0A01
09007030A01,連江縣,莒光鄉,青帆村、田沃村、西坵村,2,賴清德,NA,民主進步黨,*,31,10.16,305,3,308,676,45.56,09,007,030,0A01
09007030A01,連江縣,莒光鄉,青帆村、田沃村、西坵村,3,侯友宜,NA,中國國民黨,NA,192,62.95,305,3,308,676,45.56,09,007,030,0A01
09007030A02,連江縣,莒光鄉,福正村、大坪村,1,柯文哲,NA,台灣民眾黨,NA,76,25.59,297,0,297,701,42.37,09,007,030,0A02
09007030A02,連江縣,莒光鄉,福正村、大坪村,2,賴清德,NA,民主進步黨,*,27,9.09,297,0,297,701,42.37,09,007,030,0A02
09007030A02,連江縣,莒光鄉,福正村、大坪村,3,侯友宜,NA,中國國民黨,NA,194,65.32,297,0,297,701,42.37,09,007,030,0A02
09007040A01,連江縣,東引鄉,中柳村、樂華村,1,柯文哲,NA,台灣民眾黨,NA,234,36.11,648,4,652,1355,48.12,09,007,040,0A01
09007040A01,連江縣,東引鄉,中柳村、樂華村,2,賴清德,NA,民主進步黨,*,63,9.72,648,4,652,1355,48.12,09,007,040,0A01
09007040A01,連江縣,東引鄉,中柳村、樂華村,3,侯友宜,NA,中國國民黨,NA,351,54.17,648,4,652,1355,48.12,09,007,040,0A01
09020010001,金門縣,金城鎮,東門里,1,柯文哲,NA,台灣民眾黨,NA,553,29.24,1891,19,1910,4747,40.24,09,020,010,0001
09020010001,金門縣,金城鎮,東門里,2,賴清德,NA,民主進步黨,*,178,9.41,1891,19,1910,4747,40.24,09,020,010,0001
09020010001,金門縣,金城鎮,東門里,3,侯友宜,NA,中國國民黨,NA,1160,61.34,1891,19,1910,4747,40.24,09,020,010,0001
09020010002,金門縣,金城鎮,西門里,1,柯文哲,NA,台灣民眾黨,NA,970,26.39,3675,21,3696,9438,39.16,09,020,010,0002
09020010002,金門縣,金城鎮,西門里,2,賴清德,NA,民主進步黨,*,349,9.5,3675,21,3696,9438,39.16,09,020,010,0002
09020010002,金門縣,金城鎮,西門里,3,侯友宜,NA,中國國民黨,NA,2356,64.11,3675,21,3696,9438,39.16,09,020,010,0002
09020010003,金門縣,金城鎮,南門里,1,柯文哲,NA,台灣民眾黨,NA,514,25.01,2055,11,2066,5273,39.18,09,020,010,0003
09020010003,金門縣,金城鎮,南門里,2,賴清德,NA,民主進步黨,*,204,9.93,2055,11,2066,5273,39.18,09,020,010,0003
09020010003,金門縣,金城鎮,南門里,3,侯友宜,NA,中國國民黨,NA,1337,65.06,2055,11,2066,5273,39.18,09,020,010,0003
09020010004,金門縣,金城鎮,北門里,1,柯文哲,NA,台灣民眾黨,NA,385,25.65,1501,12,1513,4054,37.32,09,020,010,0004
09020010004,金門縣,金城鎮,北門里,2,賴清德,NA,民主進步黨,*,148,9.86,1501,12,1513,4054,37.32,09,020,010,0004
09020010004,金門縣,金城鎮,北門里,3,侯友宜,NA,中國國民黨,NA,968,64.49,1501,12,1513,4054,37.32,09,020,010,0004
09020010005,金門縣,金城鎮,古城里,1,柯文哲,NA,台灣民眾黨,NA,354,25.65,1380,13,1393,4076,34.18,09,020,010,0005
09020010005,金門縣,金城鎮,古城里,2,賴清德,NA,民主進步黨,*,156,11.3,1380,13,1393,4076,34.18,09,020,010,0005
09020010005,金門縣,金城鎮,古城里,3,侯友宜,NA,中國國民黨,NA,870,63.04,1380,13,1393,4076,34.18,09,020,010,0005
09020010006,金門縣,金城鎮,金水里,1,柯文哲,NA,台灣民眾黨,NA,199,24.33,818,5,823,2247,36.63,09,020,010,0006
09020010006,金門縣,金城鎮,金水里,2,賴清德,NA,民主進步黨,*,88,10.76,818,5,823,2247,36.63,09,020,010,0006
09020010006,金門縣,金城鎮,金水里,3,侯友宜,NA,中國國民黨,NA,531,64.91,818,5,823,2247,36.63,09,020,010,0006
09020010007,金門縣,金城鎮,珠沙里,1,柯文哲,NA,台灣民眾黨,NA,295,28.47,1036,5,1041,2967,35.09,09,020,010,0007
09020010007,金門縣,金城鎮,珠沙里,2,賴清德,NA,民主進步黨,*,109,10.52,1036,5,1041,2967,35.09,09,020,010,0007
09020010007,金門縣,金城鎮,珠沙里,3,侯友宜,NA,中國國民黨,NA,632,61,1036,5,1041,2967,35.09,09,020,010,0007
09020010008,金門縣,金城鎮,賢庵里,1,柯文哲,NA,台灣民眾黨,NA,553,30.95,1787,9,1796,4913,36.56,09,020,010,0008
09020010008,金門縣,金城鎮,賢庵里,2,賴清德,NA,民主進步黨,*,193,10.8,1787,9,1796,4913,36.56,09,020,010,0008
09020010008,金門縣,金城鎮,賢庵里,3,侯友宜,NA,中國國民黨,NA,1041,58.25,1787,9,1796,4913,36.56,09,020,010,0008
09020020001,金門縣,金沙鎮,汶沙里,1,柯文哲,NA,台灣民眾黨,NA,476,25.8,1845,12,1857,5136,36.16,09,020,020,0001
09020020001,金門縣,金沙鎮,汶沙里,2,賴清德,NA,民主進步黨,*,134,7.26,1845,12,1857,5136,36.16,09,020,020,0001
09020020001,金門縣,金沙鎮,汶沙里,3,侯友宜,NA,中國國民黨,NA,1235,66.94,1845,12,1857,5136,36.16,09,020,020,0001
