geo_key,county_name,township_name,village_name,electoral_district_name,Agree,Disagree,valid_votes,invalid_votes,total_votes,electorate,emitted_votes,uncast_votes,remaining_votes,turnout_ratio
10017020006,基隆市,七堵區,八德里,基隆市第01選區,279,387,666,6,672,1386,672,0,714,48.48
10017020008,基隆市,七堵區,六堵里,基隆市第01選區,487,667,1154,7,1161,2165,1161,0,1004,53.63
10017020015,基隆市,七堵區,友一里,基隆市第01選區,393,662,1055,6,1061,1983,1061,0,922,53.5
10017020016,基隆市,七堵區,友二里,基隆市第01選區,115,107,222,1,223,422,223,0,199,52.84
10017020010,基隆市,七堵區,堵北里,基隆市第01選區,794,980,1774,6,1780,3351,1780,0,1571,53.12
10017020011,基隆市,七堵區,堵南里,基隆市第01選區,443,543,986,6,992,1963,992,0,971,50.53
10017020003,基隆市,七堵區,富民里,基隆市第01選區,679,1118,1797,10,1807,3209,1807,0,1402,56.31
10017020019,基隆市,七堵區,實踐里,基隆市第01選區,758,984,1742,7,1749,3465,1749,0,1716,50.48
10017020002,基隆市,七堵區,正光里,基隆市第01選區,529,725,1254,6,1260,2432,1260,0,1172,51.81
10017020017,基隆市,七堵區,正明里,基隆市第01選區,428,540,968,1,969,1766,969,0,797,54.87
10017020005,基隆市,七堵區,永安里,基隆市第01選區,430,691,1121,5,1126,1997,1126,0,871,56.38
10017020004,基隆市,七堵區,永平里,基隆市第01選區,393,615,1008,5,1013,1756,1013,0,743,57.69
10017020009,基隆市,七堵區,泰安里,基隆市第01選區,1056,1196,2252,12,2264,4292,2265,1,2027,52.75
10017020012,基隆市,七堵區,瑪南里,基隆市第01選區,92,81,173,1,174,357,174,0,183,48.74
10017020013,基隆市,七堵區,瑪東里,基隆市第01選區,66,77,143,2,145,308,145,0,163,47.08
10017020014,基隆市,七堵區,瑪西里,基隆市第01選區,70,84,154,1,155,297,155,0,142,52.19
10017020018,基隆市,七堵區,百福里,基隆市第01選區,1346,1586,2932,18,2950,5694,2950,0,2744,51.81
10017020007,基隆市,七堵區,自強里,基隆市第01選區,241,334,575,2,577,1088,577,0,511,53.03
10017020020,基隆市,七堵區,長安里,基隆市第01選區,447,594,1041,5,1046,2071,1046,0,1025,50.51
10017020001,基隆市,七堵區,長興里,基隆市第01選區,749,1088,1837,16,1853,3504,1853,0,1651,52.88
10017050021,基隆市,中山區,中和里,基隆市第01選區,996,1659,2655,16,2671,5234,2671,0,2563,51.03
10017050004,基隆市,中山區,中山里,基隆市第01選區,235,224,459,5,464,872,464,0,408,53.21
10017050006,基隆市,中山區,中興里,基隆市第01選區,265,380,645,3,648,1128,648,0,480,57.45
10017050007,基隆市,中山區,仁正里,基隆市第01選區,123,231,354,1,355,661,355,0,306,53.71
10017050014,基隆市,中山區,仙洞里,基隆市第01選區,102,140,242,2,244,477,244,0,233,51.15
10017050008,基隆市,中山區,健民里,基隆市第01選區,246,325,571,6,577,1047,577,0,470,55.11
10017050012,基隆市,中山區,協和里,基隆市第01選區,299,405,704,5,709,1332,709,0,623,53.23
10017050023,基隆市,中山區,和平里,基隆市第01選區,81,163,244,1,245,409,245,0,164,59.9
10017050024,基隆市,中山區,和慶里,基隆市第01選區,1203,1720,2923,23,2946,6192,2946,0,3246,47.58
10017050015,基隆市,中山區,太白里,基隆市第01選區,153,237,390,5,395,737,395,0,342,53.6
10017050003,基隆市,中山區,安平里,基隆市第01選區,192,201,393,2,395,659,395,0,264,59.94
10017050002,基隆市,中山區,安民里,基隆市第01選區,233,305,538,5,543,956,543,0,413,56.8
10017050010,基隆市,中山區,居仁里,基隆市第01選區,201,381,582,3,585,1160,585,0,575,50.43
10017050020,基隆市,中山區,德和里,基隆市第01選區,1411,2376,3787,19,3806,6899,3806,0,3093,55.17
10017050022,基隆市,中山區,德安里,基隆市第01選區,812,1095,1907,13,1920,3598,1920,0,1678,53.36
10017050013,基隆市,中山區,文化里,基隆市第01選區,181,283,464,1,465,1245,465,0,780,37.35
10017050001,基隆市,中山區,新建里,基隆市第01選區,186,209,395,1,396,726,396,0,330,54.55
10017050005,基隆市,中山區,民治里,基隆市第01選區,169,261,430,3,433,720,433,0,287,60.14
10017050018,基隆市,中山區,西定里,基隆市第01選區,176,250,426,2,428,810,428,0,382,52.84
10017050019,基隆市,中山區,西康里,基隆市第01選區,312,414,726,5,731,1426,731,0,695,51.26
10017050016,基隆市,中山區,西榮里,基隆市第01選區,160,162,322,1,323,595,323,0,272,54.29
10017050017,基隆市,中山區,西華里,基隆市第01選區,196,211,407,1,408,740,408,0,332,55.14
10017050009,基隆市,中山區,通化里,基隆市第01選區,154,283,437,4,441,885,441,0,444,49.83
